"date","TotalUse"
2022-06-01,2542917054.83029
2022-05-01,2609350132.79446
2022-04-01,2396700327.86885
2022-03-01,2556607336.13951
2022-02-01,2192737522.33472
2022-01-01,2444362086.80143
2021-12-01,2513503278.39906
2021-11-01,2751342545.77673
2021-10-01,2718434677.59563
2021-09-01,2796708408.70063
2021-08-01,2645935590.09787
2021-07-01,2795799364.9815
2021-06-01,2532734597.37293
2021-05-01,2629858761.21076
2021-04-01,2417037554.03868
2021-03-01,2543115609.16767
2021-02-01,2039938944.60641
2021-01-01,2385896303.82775
2020-12-01,2364544830.27268
2020-11-01,2595422479.20133
2020-10-01,2588284465.04237
2020-09-01,2763338114.19591
2020-08-01,2605690533.19394
2020-07-01,2728818972.53306
2020-06-01,2424485909.99011
2020-05-01,2447067026.02231
2020-04-01,2242100580.50383
2020-03-01,2418864356.97115
2020-02-01,2186424380.02296
2020-01-01,2221429117.98396
2019-12-01,2279775451.59546
2019-11-01,2540944516.47758
2019-10-01,2517687620
2019-09-01,2633180356.41548
2019-08-01,2536332285.99703
2019-07-01,2632544543.57916
2019-06-01,2412228699.61612
2019-05-01,2514884068.05485
2019-04-01,2293789699.17012
2019-03-01,2369504196.97818
2019-02-01,2016236106.70893
2019-01-01,2376439508.73362
2018-12-01,2365624942.10526
2018-11-01,2581366230.85339
2018-10-01,2567316608.64979
2018-09-01,2657938826.31579
2018-08-01,2573476194.87179
2018-07-01,2711034363.05732
2018-06-01,2461690915.38842
2018-05-01,2573886240.08461
2018-04-01,2308890794.08543
2018-03-01,2440358963.85542
2018-02-01,1969299040.69767
2018-01-01,2333472528.0567
2017-12-01,2289174004.16017
2017-11-01,2576893120.71692
2017-10-01,2544068090.90909
2017-09-01,2631379099.0099
2017-08-01,2534623085.10638
2017-07-01,2622057775.571
2017-06-01,2345284873.94958
2017-05-01,2413007531.23438
2017-04-01,2179768681.54158
2017-03-01,2272357656.25
2017-02-01,1985635637.22898
2017-01-01,2193342550.37116
2016-12-01,2261600834.16087
2016-11-01,2530595072.16495
2016-10-01,2460764833.89504
2016-09-01,2467644086.79065
2016-08-01,2483022890.55192
2016-07-01,2584845753.29108
2016-06-01,2310010641.37308
2016-05-01,2423464414.89362
2016-04-01,2135747961.94291
2016-03-01,2176359281.00988
2016-02-01,1822200265.07277
2016-01-01,2138427986.18491
