"date","TotalUse"
2022-06-01,2822567507.1144
2022-05-01,2763083341.31737
2022-04-01,2674949203.82166
2022-03-01,2840995621.4511
2022-02-01,2462842824.89323
2022-01-01,2697652439.46731
2021-12-01,2808080643.56436
2021-11-01,2981690661.54755
2021-10-01,3166630766.53013
2021-09-01,3124205363.3218
2021-08-01,3088057059.94898
2021-07-01,3075163521.8509
2021-06-01,2892485083.69498
2021-05-01,2829726972.2058
2021-04-01,2656564702.23325
2021-03-01,2746218888.88889
2021-02-01,2359426184.71338
2021-01-01,2640063212.27301
2020-12-01,2647138739.23739
2020-11-01,2787508950.40369
2020-10-01,2907112309.0379
2020-09-01,3072341051.77994
2020-08-01,3020886922.17671
2020-07-01,3051425582.2854
2020-06-01,2751306053.37876
2020-05-01,2643183057.99649
2020-04-01,2458021427.67689
2020-03-01,2583124960.62992
2020-02-01,2423104178.91374
2020-01-01,2357816499.08032
2019-12-01,2556270144.02004
2019-11-01,2627457731.61145
2019-10-01,2793581873.93526
2019-09-01,2865481845.49356
2019-08-01,2875916153.84615
2019-07-01,2801499779.00553
2019-06-01,2596961869.20981
2019-05-01,2621522950.27624
2019-04-01,2421953944.57547
2019-03-01,2432405522.47874
2019-02-01,2125360081.58508
2019-01-01,2414006233.69257
2018-12-01,2449438856.48942
2018-11-01,2548899320.17544
2018-10-01,2695709955.23223
2018-09-01,2800623872.49737
2018-08-01,2841563205.26894
2018-07-01,2837292905.66038
2018-06-01,2618688452.44492
2018-05-01,2590487712.8821
2018-04-01,2362906467.10136
2018-03-01,2380634271.72583
2018-02-01,2027013696.85767
2018-01-01,2335107206.23501
2017-12-01,2335816028.86406
2017-11-01,2577446992.88256
2017-10-01,2705649181.33803
2017-09-01,2671016582.49158
2017-08-01,2654304614.02735
2017-07-01,2577023745.8194
2017-06-01,2400411766.50634
2017-05-01,2380619337.69063
2017-04-01,2193695158.91294
2017-03-01,2190343015.34036
2017-02-01,1951457149.44649
2017-01-01,2099155904.18645
2016-12-01,2232491402.89347
2016-11-01,2355028509.06096
2016-10-01,2449413248.83819
2016-09-01,2491040273.15914
2016-08-01,2545318486.733
2016-07-01,2465442942.36195
2016-06-01,2265363584.75264
2016-05-01,2249553232.89902
2016-04-01,2020112053.33333
2016-03-01,2015115658.13528
2016-02-01,1724949651.36805
2016-01-01,1973752543.45061
