"date","TotalUse"
2022-06-01,2793447348.79032
2022-05-01,2676847989.47368
2022-04-01,2523671622.80702
2022-03-01,2535583719.4474
2022-02-01,2262330972.51586
2022-01-01,2420684931.79433
2021-12-01,2570156617.95407
2021-11-01,2651275367.28697
2021-10-01,2845323598.44811
2021-09-01,2757228092.42871
2021-08-01,2776235374.07798
2021-07-01,2773010327.86885
2021-06-01,2633774927.23493
2021-05-01,2563314571.98444
2021-04-01,2377619020.77151
2021-03-01,2478451966.35121
2021-02-01,2072339927.76058
2021-01-01,2130549468.6907
2020-12-01,2353199079.45736
2020-11-01,2456085308.98876
2020-10-01,2586800329.67033
2020-09-01,2633179112.27154
2020-08-01,2664401451.01664
2020-07-01,2661219798.59895
2020-06-01,2440525187.11923
2020-05-01,2333104391.14391
2020-04-01,2193856705.53936
2020-03-01,2246002661.8705
2020-02-01,2092626210.62992
2020-01-01,2046964215.68627
2019-12-01,2188855126.99906
2019-11-01,2245816508.21089
2019-10-01,2397246500.40883
2019-09-01,2368119896.8254
2019-08-01,2444662818.62745
2019-07-01,2394081557.37705
2019-06-01,2267568616.10633
2019-05-01,2258954873.8812
2019-04-01,2105616863.40641
2019-03-01,2073696954.98676
2019-02-01,1823793273.61564
2019-01-01,2080507764.93256
2018-12-01,2111658076.61612
2018-11-01,2162553518.80878
2018-10-01,2286614125.387
2018-09-01,2303015968.10934
2018-08-01,2396809419.055
2018-07-01,2380045476.19048
2018-06-01,2272427427.93792
2018-05-01,2251165770.99237
2018-04-01,2072702413.7931
2018-03-01,2099252303.66492
2018-02-01,1797834248.88889
2018-01-01,2054063955.94714
2017-12-01,2114255068.61063
2017-11-01,2230388200.32573
2017-10-01,2382532164.86903
2017-09-01,2367142494.11765
2017-08-01,2415016578.94737
2017-07-01,2358696545.45455
2017-06-01,2255614759.31677
2017-05-01,2203120203.25203
2017-04-01,2058563752.0938
2017-03-01,2084536716.27907
2017-02-01,1880234847.42807
2017-01-01,1992760436.64384
2016-12-01,2184985108.33333
2016-11-01,2228008911.83479
2016-10-01,2348761037.4415
2016-09-01,2321524271.39553
2016-08-01,2466173750
2016-07-01,2396058634.92063
2016-06-01,2283809545.45455
2016-05-01,2246778236.69579
2016-04-01,2087925885.91184
2016-03-01,2051198523.36449
2016-02-01,1731563463.88164
2016-01-01,1990729920.98332
