"date","TotalUse"
2022-06-01,2467157683.32252
2022-05-01,2308292611.99173
2022-04-01,2335843521.12676
2022-03-01,2452436379.18216
2022-02-01,2118441253.58166
2022-01-01,2263837171.28643
2021-12-01,2406326854.89635
2021-11-01,2435225334.69945
2021-10-01,2768130484.72776
2021-09-01,2665686491.67734
2021-08-01,2789323392.22615
2021-07-01,2653458421.05263
2021-06-01,2551200880.72122
2021-05-01,2450799344.2623
2021-04-01,2331308660.84425
2021-03-01,2328076264.70588
2021-02-01,2032202130.90909
2021-01-01,2253457487.10391
2020-12-01,2229668545.08197
2020-11-01,2217046348.2781
2020-10-01,2643200931.20222
2020-09-01,2546645110.05354
2020-08-01,2654357276.70206
2020-07-01,2494556172.41379
2020-06-01,2330857822.67793
2020-05-01,2147004924.43325
2020-04-01,2123766778.00974
2020-03-01,2202832614.04779
2020-02-01,2134896687.76371
2020-01-01,1972329610.56106
2019-12-01,2200278928.08684
2019-11-01,2199835878.59425
2019-10-01,2489384407.10209
2019-09-01,2453927757.39645
2019-08-01,2646390241.69184
2019-07-01,2456914727.48135
2019-06-01,2351115467.83626
2019-05-01,2297463337.4158
2019-04-01,2219295956.07235
2019-03-01,2148365047.10633
2019-02-01,1905007952.80612
2019-01-01,2180870000
2018-12-01,2237699788.73239
2018-11-01,2243878358.30212
2018-10-01,2484109385.57994
2018-09-01,2515920268.69159
2018-08-01,2738491747.09835
2018-07-01,2552502282.15768
2018-06-01,2462414087.06167
2018-05-01,2396204596.62289
2018-04-01,2282816083.96421
2018-03-01,2287208850.32538
2018-02-01,1938101235.00353
2018-01-01,2234621032.02847
2017-12-01,2309027051.36758
2017-11-01,2361866947.62191
2017-10-01,2646675338.12089
2017-09-01,2605238165.61242
2017-08-01,2708348520.2864
2017-07-01,2499138316.77382
2017-06-01,2403762678.13268
2017-05-01,2304210785.17588
2017-04-01,2213693990.57873
2017-03-01,2197670099.50249
2017-02-01,2018947410.71429
2017-01-01,2033561938.13131
2016-12-01,2288941253.26371
2016-11-01,2276611015.10574
2016-10-01,2512989647.20195
2016-09-01,2470281800.9206
2016-08-01,2703459843.27908
2016-07-01,2497573466.04215
2016-06-01,2409733823.35148
2016-05-01,2327668087.22741
2016-04-01,2224224125.43554
2016-03-01,2149795829.78723
2016-02-01,1860649595.9596
2016-01-01,2079261690.78947
