"city","newTotal"
"台中市",2558563720.97448
"台北市",1304648613.14908
"台東縣",78880867.3596773
"台南市",2289648419.87744
"宜蘭縣",279958958.784523
"花蓮縣",202500677.290857
"金門縣",24831601.3897928
"南投縣",235878044.502781
"屏東縣",391182318.98315
"苗栗縣",590460343.657175
"桃園市",2352618158.42489
"高雄市",2436207711.53386
"基隆市",122969964.557923
"連江縣",6025453.00519393
"雲林縣",468049840.292727
"新北市",1735185908.44728
"新竹市",859851201.256424
"新竹縣",807945154.552677
"嘉義市",98253745.1476993
"嘉義縣",234886933.938516
"彰化縣",927741559.247229
"澎湖縣",36177466.3318541
