"","date","city","houseSaleElec","housePercent","serviceUseElec","servicePercent","agriSaleElec","agriPercent","industrySaleElec","industryPercent","saleTotal","cityUseTotal","TotalUse","houseUse","agriUse","industryUse"
"1",2016-01-01,"新北市",540526631,0.3756,493533884,0.3429,1679927,0.0012,403472508,0.2803,1439212950,0.0936,1439293916.59376,540598795.072616,1727152.69991251,403434084.821231
"2",2016-01-01,"台北市",360765814,0.3254,713562754,0.6435,1383129,0.0012,33131040,0.0299,1108842737,0.0721,1108877628.59363,360828780.344367,1330653.15431235,33155441.0949495
"3",2016-01-01,"桃園市",277353087,0.1334,316047777,0.152,2177982,0.001,1483364415,0.7135,2078943261,0.1352,2079261690.78947,277373509.551316,2079261.69078947,1483553216.37829
"4",2016-01-01,"台中市",380614970,0.1928,465608225,0.2359,11932660,0.006,1115879746,0.5653,1974035601,0.1283,1973752543.45061,380539490.377279,11842515.2607037,1115762312.81263
"5",2016-01-01,"台南市",248579986,0.1249,226744138,0.1139,27581718,0.0139,1487836129,0.7474,1990741971,0.1294,1990729920.98332,248642167.130816,27671145.9016681,1487871542.94293
"6",2016-01-01,"高雄市",414615754,0.1938,402452147,0.1882,19383739,0.0091,1302511416,0.6089,2138963056,0.1391,2138427986.18491,414427343.722635,19459694.6742827,1302088800.78799
"7",2016-01-01,"宜蘭縣",57517473,0.2271,56006325,0.2212,4341753,0.0171,135364306,0.5346,253229857,0.0165,253193150.994575,57500164.590868,4329602.88200723,135357058.5217
"8",2016-01-01,"新竹縣",68535413,0.0997,63999203,0.0931,1157780,0.0017,553488357,0.8054,687180753,0.0447,687424307.196563,68536203.4274973,1168621.32223416,553651537.016112
"9",2016-01-01,"苗栗縣",68742495,0.1229,58694166,0.105,1580625,0.0028,430170308,0.7693,559187594,0.0364,558992057.142857,68700123.8228571,1565177.76,430032589.56
"10",2016-01-01,"彰化縣",151432577,0.1985,139978019,0.1835,30463550,0.0399,440890264,0.578,762764410,0.0496,762822991.825613,151420363.877384,30436637.373842,440911689.275204
"11",2016-01-01,"南投縣",54411432,0.2756,47589753,0.2411,7854383,0.0398,87551201,0.4435,197406769,0.0128,197385951.887184,54399568.3401078,7855960.88510991,87540669.661966
"12",2016-01-01,"雲林縣",85397006,0.2163,62569495,0.1585,24489117,0.062,222261909,0.5631,394717527,0.0257,394760220.820189,85386635.7634069,24475133.6908517,222289480.343849
"13",2016-01-01,"嘉義縣",61012850,0.3194,43496193,0.2277,15721688,0.0823,70818078,0.3707,191048809,0.0124,191024123.847167,61013105.1567852,15721285.3926219,70812642.7101449
"14",2016-01-01,"屏東縣",114210920,0.3397,79597828,0.2367,56722139,0.1687,85717489,0.2549,336248376,0.0219,336281487.114491,114234821.172793,56730686.8762146,85718151.0654837
"15",2016-01-01,"台東縣",25804334,0.391,27523499,0.417,2399328,0.0364,10273363,0.1557,66000524,0.0043,66003594.7242206,25807405.5371703,2402530.84796163,10276759.6985612
"16",2016-01-01,"花蓮縣",41360028,0.2287,52272759,0.289,2086817,0.0115,85145655,0.4708,180865259,0.0118,180874598.615917,41366020.7034602,2080057.88408305,85155761.0283737
"17",2016-01-01,"基隆市",43786770,0.4385,38798149,0.3885,7507,1e-04,17266162,0.1729,99858588,0.0065,99866535.3925354,43791475.7696268,9986.65353925354,17266923.9693694
"18",2016-01-01,"新竹市",65474909,0.0834,89741806,0.1144,604674,8e-04,628960999,0.8014,784782388,0.051,784456346.153846,65423659.2692308,627565.076923077,628663315.807692
"19",2016-01-01,"嘉義市",35132162,0.4269,40187505,0.4883,436888,0.0053,6547267,0.0795,82303822,0.0054,82300849.8873643,35134232.8169158,436194.504403031,6542917.56604546
"20",2016-01-01,"澎湖縣",12398263,0.4178,13503988,0.455,357898,0.0121,3417745,0.1152,29677894,0.0019,29679094.5054945,12399925.6843956,359117.043516484,3419031.68703297
"21",2016-01-01,"金門縣",8320068,0.4042,10046944,0.4881,199869,0.0097,2015170,0.0979,20582051,0.0013,20583782.0118828,8319964.68920303,199662.685515263,2015152.25896333
"22",2016-01-01,"連江縣",1995495,0.405,2477981,0.5029,15884,0.0032,437623,0.0888,4926983,3e-04,4927383.17757009,1995590.18691589,15767.6261682243,437551.626168224
"23",2016-01-01,"合計",3117988437,0.2027,3444432538,0.2239,212579055,0.0138,8606521150,0.5595,15381521180,1,15383798740.5092,3118296004.70121,212296422.619026,8607235395.31487
"24",2016-02-01,"新北市",538570714,0.4208,400052761,0.3125,1424480,0.0011,339951336,0.2656,1279999291,0.0945,1280168835.2,538695045.85216,1408185.71872,340012842.62912
"25",2016-02-01,"台北市",345669833,0.3575,591219328,0.6114,1199238,0.0012,28841640,0.0298,966930039,0.0714,966992685.639516,345699885.116127,1160391.22276742,28816382.0320576
"26",2016-02-01,"桃園市",338506417,0.182,276306465,0.1485,1963518,0.0011,1243514891,0.6685,1860291291,0.1374,1860649595.9596,338638226.464647,2046714.55555556,1243844254.89899
"27",2016-02-01,"台中市",375418671,0.2176,390873591,0.2266,10364161,0.006,948669660,0.5498,1725326083,0.1274,1724949651.36805,375349044.137688,10349697.9082083,948377318.322153
"28",2016-02-01,"台南市",246328255,0.1423,198956642,0.1149,24420658,0.0141,1261936316,0.7288,1731641871,0.1279,1731563463.88164,246401480.910357,24415044.8407311,1261963452.47694
"29",2016-02-01,"高雄市",308329421,0.1692,350591331,0.1924,16898361,0.0093,1146531032,0.6291,1822350145,0.1346,1822200265.07277,308316284.850312,16946462.4651767,1146346186.75728
"30",2016-02-01,"宜蘭縣",59925856,0.2767,46896349,0.2165,3964428,0.0183,105792930,0.4885,216579563,0.016,216611311.778291,59936349.9690531,3963987.00554273,105814625.803695
"31",2016-02-01,"新竹縣",80829476,0.1266,60421470,0.0946,1034008,0.0016,496126667,0.7771,638411621,0.0471,638704756.871036,80860022.2198731,1021927.61099366,496337466.564482
"32",2016-02-01,"苗栗縣",59569974,0.1237,48626291,0.101,1370526,0.0028,371832941,0.7724,481399732,0.0356,481448425.742574,59555170.2643564,1348055.59207921,371870764.043564
"33",2016-02-01,"彰化縣",154411560,0.2326,127669327,0.1923,27167736,0.0409,354566922,0.5341,663815545,0.049,663907056.682267,154424781.384295,27153798.6183047,354592758.973999
"34",2016-02-01,"南投縣",66266309,0.3529,44896233,0.2391,6550286,0.0349,70062570,0.3731,187775398,0.0139,187771781.681305,66264661.7553325,6553235.18067754,70057651.7452949
"35",2016-02-01,"雲林縣",81091214,0.2339,51196249,0.1476,23709381,0.0684,190766908,0.5501,346763752,0.0256,346858055.555556,81130099.1944444,23725091,190806616.361111
"36",2016-02-01,"嘉義縣",55123723,0.3414,36762663,0.2277,14609951,0.0905,54980735,0.3405,161477072,0.0119,161452187.088274,55119776.6719368,14611422.9314888,54974469.7035573
"37",2016-02-01,"屏東縣",98187409,0.3422,68716314,0.2395,51518754,0.1796,68507996,0.2388,286930473,0.0212,286915716.075157,98182558.0409186,51530062.6070981,68515472.9987474
"38",2016-02-01,"台東縣",27944209,0.4448,24718465,0.3934,2167682,0.0345,7995248,0.1273,62825604,0.0046,62832905.439756,27948076.3396035,2167735.23767158,7998628.86248093
"39",2016-02-01,"花蓮縣",45566308,0.269,45244453,0.2671,1921631,0.0113,76645823,0.4525,169378215,0.0125,169391437.663796,45566296.7315612,1914123.2456009,76649625.5428678
"40",2016-02-01,"基隆市",51893036,0.5228,33568335,0.3382,7025,1e-04,13797228,0.139,99265624,0.0073,99255869.3081017,51890968.4742756,9925.58693081017,13796565.8338261
"41",2016-02-01,"新竹市",61529037,0.0855,76141522,0.1058,570455,8e-04,581465971,0.8079,719706985,0.0531,719674120.982987,61532137.3440454,575739.296786389,581424722.342155
"42",2016-02-01,"嘉義市",34728372,0.4694,33595700,0.4541,450059,0.0061,5211418,0.0704,73985549,0.0055,73983043.3825149,34727640.5637525,451296.564633341,5208406.25412905
"43",2016-02-01,"澎湖縣",10491206,0.4345,10316837,0.4273,319021,0.0132,3016080,0.1249,24143144,0.0018,24144247.6012169,10490675.5827288,318704.068336064,3015616.525392
"44",2016-02-01,"金門縣",7569588,0.433,8081044,0.4623,172343,0.0099,1658982,0.0949,17481957,0.0013,17480086.5239022,7568877.46484967,173052.856586632,1658860.21111832
"45",2016-02-01,"連江縣",1764007,0.3767,2459486,0.5252,16247,0.0035,443644,0.0947,4683384,3e-04,4682951.25666413,1764067.73838538,16390.3293983244,443475.484006093
"46",2016-02-01,"合計",3049714595,0.2252,2927310856,0.2162,191819949,0.0142,7372316938,0.5444,13541162338,1,13539828196.1147,3049169309.76503,192265560.384829,7371082469.96485
"47",2016-03-01,"新北市",584256083,0.3971,462727513,0.3145,1560163,0.0011,422854581,0.2874,1471398340,0.0936,1471311647.05882,584257855.047059,1618442.81176471,422854967.364706
"48",2016-03-01,"台北市",384036308,0.3462,690967798,0.6229,1368482,0.0012,32940032,0.0297,1109312620,0.0705,1109275642.96035,384031227.592872,1331130.77155242,32945486.5959223
"49",2016-03-01,"桃園市",311520432,0.1449,303121212,0.141,2036645,9e-04,1533275303,0.7132,2149953592,0.1367,2149795829.78723,311505415.73617,1934816.24680851,1533234385.80426
"50",2016-03-01,"台中市",403860286,0.2004,440907306,0.2188,11254907,0.0056,1159058791,0.5752,2015081290,0.1281,2015115658.13528,403829177.890311,11284647.6855576,1159094526.55942
"51",2016-03-01,"台南市",257839119,0.1257,219478242,0.107,26460642,0.0129,1548010739,0.7545,2051788742,0.1305,2051198523.36449,257835654.386916,26460460.9514019,1547629285.8785
"52",2016-03-01,"高雄市",408419599,0.1877,396532661,0.1822,19075730,0.0088,1352229114,0.6214,2176257104,0.1384,2176359281.00988,408502637.045554,19151961.6728869,1352389657.21954
"53",2016-03-01,"宜蘭縣",61782811,0.2426,54578727,0.2143,4861118,0.0191,133454198,0.524,254676854,0.0162,254683747.083528,61786277.0424638,4864459.56929538,133454283.471769
"54",2016-03-01,"新竹縣",78551190,0.1115,61246146,0.0869,1223931,0.0017,563738214,0.7999,704759481,0.0448,704788791.714615,78583950.2761795,1198140.94591484,563760554.49252
"55",2016-03-01,"苗栗縣",75551822,0.1342,55557299,0.0987,1532701,0.0027,430240081,0.7644,562881903,0.0358,562890567.375887,75539914.141844,1519804.53191489,430273549.702128
"56",2016-03-01,"彰化縣",165132711,0.2099,132495750,0.1685,29196639,0.0371,459718215,0.5845,786543315,0.05,786324925.816024,165049601.928783,29172654.7477745,459606919.139466
