"","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01"
"台中市",1973752543.45061,1724949651.36805,2015115658.13528,2020112053.33333,2249553232.89902,2265363584.75264,2465442942.36195,2545318486.733,2491040273.15914,2449413248.83819,2355028509.06096,2232491402.89347,2099155904.18645,1951457149.44649,2190343015.34036,2193695158.91294,2380619337.69063,2400411766.50634,2577023745.8194,2654304614.02735,2671016582.49158,2705649181.33803,2577446992.88256,2335816028.86406,2335107206.23501,2027013696.85767,2380634271.72583,2362906467.10136,2590487712.8821,2618688452.44492,2837292905.66038,2841563205.26894,2800623872.49737,2695709955.23223,2548899320.17544,2449438856.48942,2414006233.69257,2125360081.58508,2432405522.47874,2421953944.57547,2621522950.27624,2596961869.20981,2801499779.00553,2875916153.84615,2865481845.49356,2793581873.93526,2627457731.61145,2556270144.02004,2357816499.08032,2423104178.91374,2583124960.62992,2458021427.67689,2643183057.99649,2751306053.37876,3051425582.2854,3020886922.17671,3072341051.77994,2907112309.0379,2787508950.40369,2647138739.23739,2640063212.27301,2359426184.71338,2746218888.88889,2656564702.23325,2829726972.2058,2892485083.69498,3075163521.8509,3088057059.94898,3124205363.3218,3166630766.53013,2981690661.54755,2808080643.56436
"台北市",1108877628.59363,966992685.639516,1109275642.96035,1110981904.61298,1307343040.91801,1359962145.92275,1581809725.65378,1644755770.84382,1671916185.56701,1501870526.14163,1378596480.8814,1193848214.34175,1121580621.50404,1004943278.37051,1096857648.1775,1095995325.34247,1250098105.32688,1291334660.15038,1525597988.37027,1607581462.36559,1701326334.58647,1572483972.81487,1402927361.57438,1138514040.13272,1118082078.31809,960648505,1140048529.26869,1116243112.58278,1288265909.22753,1354361690.42454,1583002797.63857,1608930025.12984,1657511481.35299,1409557525.33784,1277544958.8776,1128893704.27298,1131287465.18987,996769305.150632,1102691062.14331,1107428670.13942,1273842107.3681,1313627138.44729,1512719073.18632,1590346704.37531,1685024529.61053,1453201198.0858,1282948341.87469,1098523948.15868,1064431087.7587,1050481210.96346,1122523928.51205,1045390133.20338,1223985377.76364,1351195613.18468,1656376264.52495,1607419934.09334,1689541123.09075,1416925661.58212,1261756912.61814,1066294838.50932,1121181916.49899,1015443298.0569,1169835803.88253,1092646602.50241,1227085795.43666,1239428126.72176,1466698421.44177,1488771268.10249,1610318140.54839,1510387634.4086,1365757936.50794,1133852504.86697
"台東縣",66003594.7242206,62832905.439756,66602231.6658572,71438168.0137154,75848383.2067887,83718398.2990787,85637321.9635861,95289653.712008,87400742.1780257,85433226.2809512,76288222.6469183,72962483.9822573,65020987.9577292,66403123.163238,65239799.0844354,69674621.0957501,71505109.7992916,77265922.2380275,83819997.6798144,92542540.5135876,87289582.733813,91115943.8058748,79041812.5,73422967.4586777,66026328.705999,63213705.1899411,67693193.0083703,72057578.245254,72369259.1763653,80920709.2198582,86963818.9338235,94521799.656273,88237413.1366016,86243095.5381901,74451926.4069264,74087233.6217552,68086352.278295,67812293.4362934,69768844.9481553,72576027.2307318,74735561.953017,81373758.2314205,84530721.1646137,96155342.599366,90757429.0524291,90253445.6435904,76895617.866005,73597616.9552856,64251210.2689487,72337132.9970799,69555190.9586906,71248351.910828,71520056.7778566,86510485.5090414,95235453.280779,102541969.504447,96288018.3572605,93156735.7910906,77244612.5461255,72923148.5100147,69656705.1732798,70094304.5466774,74748266.0098522,77020138.7487386,75955253.6483669,84231196.0943857,84790146.2377027,93671452.0166899,91772319.284802,97078467.8486372,83247439.5770393,79217581.9564647
"台南市",1990729920.98332,1731563463.88164,2051198523.36449,2087925885.91184,2246778236.69579,2283809545.45455,2396058634.92063,2466173750,2321524271.39553,2348761037.4415,2228008911.83479,2184985108.33333,1992760436.64384,1880234847.42807,2084536716.27907,2058563752.0938,2203120203.25203,2255614759.31677,2358696545.45455,2415016578.94737,2367142494.11765,2382532164.86903,2230388200.32573,2114255068.61063,2054063955.94714,1797834248.88889,2099252303.66492,2072702413.7931,2251165770.99237,2272427427.93792,2380045476.19048,2396809419.055,2303015968.10934,2286614125.387,2162553518.80878,2111658076.61612,2080507764.93256,1823793273.61564,2073696954.98676,2105616863.40641,2258954873.8812,2267568616.10633,2394081557.37705,2444662818.62745,2368119896.8254,2397246500.40883,2245816508.21089,2188855126.99906,2046964215.68627,2092626210.62992,2246002661.8705,2193856705.53936,2333104391.14391,2440525187.11923,2661219798.59895,2664401451.01664,2633179112.27154,2586800329.67033,2456085308.98876,2353199079.45736,2130549468.6907,2072339927.76058,2478451966.35121,2377619020.77151,2563314571.98444,2633774927.23493,2773010327.86885,2776235374.07798,2757228092.42871,2845323598.44811,2651275367.28697,2570156617.95407
"宜蘭縣",253193150.994575,216611311.778291,254683747.083528,247519286.384977,269834249.480249,268867920.168067,304611890.909091,321092973.202892,304592868.338558,296462531.590414,282595363.292734,267780060.352832,243373743.180864,234013012.879485,254426683.579336,251989940.229885,253125907.643312,250210152.34375,286895074.349442,316756408.247423,322967770.750988,310240534.962089,277156982.035928,258499308.065227,263195986.038394,219393703.374778,259473166.880068,259921091.314031,267494455.821009,279181250.986582,306007113.670134,325733043.831169,316085584.077381,297194740.67724,267937141.744548,256365617.232809,263163667.736758,216827750.796178,263437626.757563,244288566.801619,269999820.542192,276714273.197929,304969370.683039,324077143.440948,325263609.813084,303602380.74588,279736294.333469,253846784.02748,239631497.005988,258821269.196025,266692070.504239,244523302.469136,270061599.340478,291297406.32806,331882274.285714,342782535.031847,334728765.762323,307876541.774332,268588910.776362,258770223.534374,269682418.328384,241588148.964301,275079628.712871,268142160.628546,278479853.836784,294555000,321158620.037807,338419300.492611,337584476.149915,341216829.602558,295521692.501047,288549450.853715
"花蓮縣",180874598.615917,169391437.663796,181278372.58348,186999224.860335,197949655.71205,207614047.233905,221215237.351655,235358875.759622,220297660.579345,221116189.989785,203026203.825857,206936516.225289,181367885.010267,173519026.870007,187163322.368421,189309234.380643,199830141.081626,195798658.575535,218187584.786054,216955206.299213,229453853.063843,229094174.657534,208447523.458445,198593927.789934,188171217.99308,165566332.116788,179219092.398427,189981499.82681,198278386.491557,202905452.853598,217952191.653787,216832021.991448,220394491.036159,217274463.143723,198519030.595813,196964338.85695,179483480.445707,177066943.005181,182532881.191324,190009777.851459,194116368.113266,202979804.970116,209595946.107784,222970792.110207,220669393.939394,210238379.433778,197701252.021999,194812973.451327,169643421.72524,188891068.422978,187859273.99651,187691554.441261,195103854.473943,209368847.631242,225038209.839953,230711404.011461,220489726.027397,219093964.94709,204015957.446809,200217107.757108,196089572.287027,182835936.225436,198006307.378443,197525278.836162,201942447.081462,214694349.69545,220704599.156118,228396275.546159,216589955.988683,228525576.398363,217448882.185947,205150123.099203
"金門縣",20583782.0118828,17480086.5239022,21415786.9668759,19870140.167364,25012144.7341823,24403208.5039984,30616804.2906294,29736689.4052441,31594142.8264143,26526343.4727503,25814039.7762585,19814210.0977199,20699685.8855135,17826412.047141,21010778.9108266,19891278.4810127,24179146.1679203,23240035.2181569,29480972.9407083,28749247.0837752,33006153.0241505,28418151.2042819,27337467.1419024,19670996.1604096,21277328.0898876,17645406.2352385,22388090.6753914,20912041.6666667,25189041.4175918,24189378.5188393,31000680.9470124,29514384.5796563,33286598.108747,26139829.1215403,25115566.704675,19628494.4841012,21174720.3274216,18504228.8438617,22131934.5794393,20226356.8521031,25122769.9214366,24241544.3760984,29428380.4060018,28233056.6893424,35078350.5650397,29020434.0320592,27753713.0801688,19994578.3664459,21059818.5890258,19752048.0156786,22806504.5221217,19329384.5057034,24240215.2317881,24050850.5850585,31312055.8375635,29206969.1863264,34620750.1194458,27415330.6410904,26114001.3742556,19772807.5221239,22438707.5471698,19144345.8064516,23855291.403594,20180695.672962,24590959.2162224,22854460.4141291,28855002.5497195,28154299.3884605,33571226.440138,29565260.4588394,29853041.633519,21556661.7719041
"南投縣",197385951.887184,187771781.681305,206175182.257356,224430303.830911,224124219.323278,246192968.241042,237260410.685805,271697707.81893,238426098.140087,258495775.862069,226588633.639632,238609049.429658,199007292.839903,209967452.256944,211039818.016379,222746830.955469,218896673.657718,240151706.398996,234393459.481695,263666429.772918,243789359.605911,269005404.14727,231459620.041754,234180354.67128,212719422.735346,198915602.546612,219858902.934537,229791976.796073,229609432.048682,253596573.688593,245987673.851159,272637200.170721,243215151.392814,260364784.1256,225844948.024948,233162096.774194,210711127.201566,195617980.214345,209182101.297614,228368265.174344,225541979.674797,242159206.61157,237829416.909621,266921365.376436,244294821.355236,264483098.346388,230953771.597134,232606013.274336,194925429.902584,227257802.995915,216846460.674157,219138302.731751,217640751.61987,250492113.336174,253312077.017616,273639186.602871,256434009.760065,263507703.225806,230114484.599589,238581106.214191,221722618.198037,218147853.476435,238416125.172572,247348468.384075,238513291.980505,264038434.318953,249177411.242604,272851735.700197,255901417.147934,283168053.660755,249347655.77342,252861313.69799
"屏東縣",336281487.114491,286915716.075157,338944083.224967,331593276.21379,387899322.169059,388669718.14212,434291079.616507,422045526.533997,416564361.485108,380852442.596991,392459881.632653,361028197.389886,343591765.913758,318413826.0497,344532988.013699,341011884.646629,384976367.65889,384525566.483084,431731486.542443,417002441.042615,433995720.198675,422659421.726559,420629770.959378,359431463.414634,351320128.152129,298388526.272578,360234218.166736,350777702.702703,395945799.614644,401158122.813836,435855840.816327,415808887.128713,421255898.764448,393681253.930818,397288695.299838,368400150.197628,368698980.994743,323952754.611067,364603237.088247,358997466.456196,407599319.267516,397013305.752561,430740775.356245,419273865.233568,437043924.210526,411210165.63147,411160765.306122,362014175.170068,340056726.572529,354135328.049317,370533199.285076,359503249.574106,398977026.459471,422258790.02079,485418397.435897,443344118.154377,470563427.72612,422354465.776294,424047979.363715,370532058.091286,381680589.022758,341294780.269058,402931196.619217,388493100.940975,418021954.217889,423619328.671329,442594109.720885,424060412.324422,442185832.963127,443871165.172855,434906218.708827,397271757.86299
"苗栗縣",558992057.142857,481448425.742574,562890567.375887,565802705.515088,601333159.315932,587260333.625988,652699120.689655,643666706.689537,620441592.201462,601206201.550388,579816187.658495,563862542.694497,537442284.40367,500553898.305085,590747176.981542,578921890.179514,586834530.232558,570791250,614638652.064027,634835793.721973,653717980.769231,629625040.358744,642872632.093933,569536839.430894,552344147.609148,461027954.779034,576972810.098793,551084239.244491,597700942.307692,587939154.411765,644560825.688073,641039042.357274,631921839.285714,585344747.663551,532179600.709849,520664888.475836,515473270.440252,439192991.689751,532564232.323232,551469225.206612,588239527.483124,544593845.47849,601339806.508355,609608767.482517,618695043.630018,584112483.841182,579894118.207817,533217634.194831,501667367.906067,505918381.618382,566754929.424538,525431663.223141,579445147.928994,572050819.672131,646858380.035026,641483640.552995,653388217.122683,619716234.146341,599925560.97561,615030646.551724,624657066.210046,535166737.668161,643577303.240741,610746123.853211,658644875.406284,634796868.686869,680998520.130577,682775672.131148,702863940.634596,702702520.833333,673729451.022605,623695966.480447
