"","date","city","house","agri","industry","Total"
"1",2016-01-01,"台中市",380539490.377279,11842515.2607037,1115762312.81263,1973752543.45061
"2",2016-01-01,"台北市",360828780.344367,1330653.15431235,33155441.0949495,1108877628.59363
"3",2016-01-01,"台東縣",25807405.5371703,2402530.84796163,10276759.6985612,66003594.7242206
"4",2016-01-01,"台南市",248642167.130816,27671145.9016681,1487871542.94293,1990729920.98332
"5",2016-01-01,"宜蘭縣",57500164.590868,4329602.88200723,135357058.5217,253193150.994575
"6",2016-01-01,"花蓮縣",41366020.7034602,2080057.88408305,85155761.0283737,180874598.615917
"7",2016-01-01,"金門縣",8319964.68920303,199662.685515263,2015152.25896333,20583782.0118828
"8",2016-01-01,"南投縣",54399568.3401078,7855960.88510991,87540669.661966,197385951.887184
"9",2016-01-01,"屏東縣",114234821.172793,56730686.8762146,85718151.0654837,336281487.114491
"10",2016-01-01,"苗栗縣",68700123.8228571,1565177.76,430032589.56,558992057.142857
"11",2016-01-01,"桃園市",277373509.551316,2079261.69078947,1483553216.37829,2079261690.78947
"12",2016-01-01,"高雄市",414427343.722635,19459694.6742827,1302088800.78799,2138427986.18491
"13",2016-01-01,"基隆市",43791475.7696268,9986.65353925354,17266923.9693694,99866535.3925354
"14",2016-01-01,"連江縣",1995590.18691589,15767.6261682243,437551.626168224,4927383.17757009
"15",2016-01-01,"雲林縣",85386635.7634069,24475133.6908517,222289480.343849,394760220.820189
"16",2016-01-01,"新北市",540598795.072616,1727152.69991251,403434084.821231,1439293916.59376
"17",2016-01-01,"新竹市",65423659.2692308,627565.076923077,628663315.807692,784456346.153846
"18",2016-01-01,"新竹縣",68536203.4274973,1168621.32223416,553651537.016112,687424307.196563
"19",2016-01-01,"嘉義市",35134232.8169158,436194.504403031,6542917.56604546,82300849.8873643
"20",2016-01-01,"嘉義縣",61013105.1567852,15721285.3926219,70812642.7101449,191024123.847167
"21",2016-01-01,"彰化縣",151420363.877384,30436637.373842,440911689.275204,762822991.825613
"22",2016-01-01,"澎湖縣",12399925.6843956,359117.043516484,3419031.68703297,29679094.5054945
"23",2016-02-01,"台中市",375349044.137688,10349697.9082083,948377318.322153,1724949651.36805
"24",2016-02-01,"台北市",345699885.116127,1160391.22276742,28816382.0320576,966992685.639516
"25",2016-02-01,"台東縣",27948076.3396035,2167735.23767158,7998628.86248093,62832905.439756
"26",2016-02-01,"台南市",246401480.910357,24415044.8407311,1261963452.47694,1731563463.88164
"27",2016-02-01,"宜蘭縣",59936349.9690531,3963987.00554273,105814625.803695,216611311.778291
"28",2016-02-01,"花蓮縣",45566296.7315612,1914123.2456009,76649625.5428678,169391437.663796
"29",2016-02-01,"金門縣",7568877.46484967,173052.856586632,1658860.21111832,17480086.5239022
"30",2016-02-01,"南投縣",66264661.7553325,6553235.18067754,70057651.7452949,187771781.681305
"31",2016-02-01,"屏東縣",98182558.0409186,51530062.6070981,68515472.9987474,286915716.075157
"32",2016-02-01,"苗栗縣",59555170.2643564,1348055.59207921,371870764.043564,481448425.742574
"33",2016-02-01,"桃園市",338638226.464647,2046714.55555556,1243844254.89899,1860649595.9596
"34",2016-02-01,"高雄市",308316284.850312,16946462.4651767,1146346186.75728,1822200265.07277
