"total.price.NTD.1","The.villages.and.towns.urban.district","land.sector.position.building.sector.house.number.plate","day","busfar","convifar","all_post_office","all.police.station.far","schoolfar","hospital.far","materials","guard"
93764.3433217494,"新莊區","新北市新莊區青山路一段６４之１號十二樓",6138,10800,12400,4400,3400,13200,10900,3,1
77705.6797244252,"新店區","新北市新店區達觀路４１之６號",8537,8100,10300,13400,8500,4100,10000,3,1
68587.1056241427,"新店區","新北市新店區錦秀路５７巷１號四樓",14822,8100,4200,13300,8500,3000,9700,3,1
167032.595845296,"汐止區","新北市汐止區東勢街２０１巷１６３弄８８號二樓",1599,7300,7200,13200,8200,6800,8200,3,1
184508.268059182,"汐止區","新北市汐止區東勢街２０１巷１６３弄４１號二樓",1627,7300,7200,13200,7200,6800,8200,3,1
99469.4960212202,"新店區","新北市新店區安泰路３８號二樓",2506,7700,8900,12900,8000,8300,8800,3,1
123659.305993691,"汐止區","新北市汐止區東勢街７６巷５１弄１８號２樓",7664,7000,6800,12900,6800,6400,7900,3,1
88361.5248674577,"汐止區","新北市汐止區東勢街２０１巷５號五樓",5287,6900,6700,12800,6700,6300,7800,3,1
63847.9001135074,"五股區","新北市五股區六合街４３號五樓",5066,500,500,12200,950,1000,900,3,1
25817.5559380379,"新店區","新北市新店區松林路５３－１號四樓",13734,8800,12700,12100,10100,8200,11900,3,1
69195.6011367849,"新店區","新北市新店區安祥路１０６巷２４６號二樓",8819,9500,11100,12100,10200,4700,11100,3,1
69139.7420555777,"新店區","新北市新店區安祥路１１０巷４５號十七樓",9676,9400,10800,12000,9800,10000,10900,3,1
90611.4123141339,"新店區","新北市新店區玫瑰路５３巷１５號三樓",11777,6700,8900,11900,7100,7300,8800,3,1
51664.7531572905,"新店區","新北市新店區松林路３０－２號六樓",14831,8500,11800,11700,9700,1900,11600,3,1
87672.688629118,"新店區","新北市新店區富貴街２３巷１４號四樓",13854,6300,8500,11500,6700,1100,8400,3,0
89590.6329001641,"新店區","新北市新店區安祥路１０８巷９號六樓",3637,8900,600,11500,9300,3800,10400,3,1
97236.9819341127,"新店區","新北市新店區富貴街２３巷１５號",13870,6300,8500,11500,6700,1100,8400,3,0
116402.116402116,"新店區","新北市新店區僑信路１３２巷８號",13210,6100,8200,11300,6500,950,7900,3,1
73135.7552581262,"新店區","新北市新店區富貴街６巷５號四樓",12993,6000,8200,11200,6300,6600,8100,3,0
64095.6587310137,"新店區","新北市新店區黎明路６３巷２２號三樓",11733,5700,7900,11000,6100,6400,7900,3,1
88986.1415025529,"新店區","新北市新店區安祥路６９巷５９號",6068,7700,450,10200,8100,8300,9200,3,1
91078.0669144982,"新店區","新北市新店區花園五路一段２２號地下一層",9447,6400,10300,9700,7700,3800,9500,3,1
89756.5353977336,"新店區","新北市新店區花園五路一段１８號二樓",9842,6400,10300,9600,7600,5800,9500,3,1
108576.551449348,"板橋區","新北市板橋區金門街３１７巷１號六樓之一",9955,7000,8900,9600,6700,7300,8500,3,1
159423.578804039,"樹林區","新北市樹林區學成路５４７號十樓",4373,9000,9700,9400,9200,8400,8400,3,1
84898.2785602504,"新店區","新北市新店區安德街１４８巷３１號三樓",12837,4100,6100,9300,4500,4700,6100,3,0
95516.5692007797,"新店區","新北市新店區花園二路一段１１－２０１號",16752,6000,9900,9200,7200,11300,9100,3,1
