"total.price.NTD.1","The.villages.and.towns.urban.district","land.sector.position.building.sector.house.number.plate","day","busfar","convifar","all_post_office","all.police.station.far","schoolfar","hospital.far","materials","guard"
93764.3433217494,"·s²ø°Ï","·s¥_¥«·s²ø°Ï«C¤s¸ô¤@¬q¢µ¢³¤§¢°¸¹¤Q¤G¼Ó",6138,10800,12400,4400,3400,13200,10900,3,1
77705.6797244252,"·s©±°Ï","·s¥_¥«·s©±°Ï¹FÆ[¸ô¢³¢°¤§¢µ¸¹",8537,8100,10300,13400,8500,4100,10000,3,1
68587.1056241427,"·s©±°Ï","·s¥_¥«·s©±°ÏÀA¨q¸ô¢´¢¶«Ñ¢°¸¹¥|¼Ó",14822,8100,4200,13300,8500,3000,9700,3,1
167032.595845296,"¦Á¤î°Ï","·s¥_¥«¦Á¤î°ÏªF¶Õµó¢±¢¯¢°«Ñ¢°¢µ¢²§Ë¢·¢·¸¹¤G¼Ó",1599,7300,7200,13200,8200,6800,8200,3,1
184508.268059182,"¦Á¤î°Ï","·s¥_¥«¦Á¤î°ÏªF¶Õµó¢±¢¯¢°«Ñ¢°¢µ¢²§Ë¢³¢°¸¹¤G¼Ó",1627,7300,7200,13200,7200,6800,8200,3,1
99469.4960212202,"·s©±°Ï","·s¥_¥«·s©±°Ï¦w®õ¸ô¢²¢·¸¹¤G¼Ó",2506,7700,8900,12900,8000,8300,8800,3,1
123659.305993691,"¦Á¤î°Ï","·s¥_¥«¦Á¤î°ÏªF¶Õµó¢¶¢µ«Ñ¢´¢°§Ë¢°¢·¸¹¢±¼Ó",7664,7000,6800,12900,6800,6400,7900,3,1
88361.5248674577,"¦Á¤î°Ï","·s¥_¥«¦Á¤î°ÏªF¶Õµó¢±¢¯¢°«Ñ¢´¸¹¤­¼Ó",5287,6900,6700,12800,6700,6300,7800,3,1
63847.9001135074,"¤­ªÑ°Ï","·s¥_¥«¤­ªÑ°Ï¤»¦Xµó¢³¢²¸¹¤­¼Ó",5066,500,500,12200,950,1000,900,3,1
25817.5559380379,"·s©±°Ï","·s¥_¥«·s©±°ÏªQªL¸ô¢´¢²¡Ð¢°¸¹¥|¼Ó",13734,8800,12700,12100,10100,8200,11900,3,1
69195.6011367849,"·s©±°Ï","·s¥_¥«·s©±°Ï¦w²»¸ô¢°¢¯¢µ«Ñ¢±¢³¢µ¸¹¤G¼Ó",8819,9500,11100,12100,10200,4700,11100,3,1
74192.443784956,"¤­ªÑ°Ï","·s¥_¥«¤­ªÑ°Ï¤»¦Xµó¢°¢µ¸¹¥|¼Ó",5063,450,1300,12100,900,1000,850,3,1
69139.7420555777,"·s©±°Ï","·s¥_¥«·s©±°Ï¦w²»¸ô¢°¢°¢¯«Ñ¢³¢´¸¹¤Q¤C¼Ó",9676,9400,10800,12000,9800,10000,10900,3,1
125526.157546603,"¦Á¤î°Ï","·s¥_¥«¦Á¤î°Ï©y¿³µó¢¸«Ñ¢°¢³¸¹¢²¼Ó",10520,6100,6200,12000,6900,5500,7000,3,1
90611.4123141339,"·s©±°Ï","·s¥_¥«·s©±°Ïª´ºÀ¸ô¢´¢²«Ñ¢°¢´¸¹¤T¼Ó",11777,6700,8900,11900,7100,7300,8800,3,1
51664.7531572905,"·s©±°Ï","·s¥_¥«·s©±°ÏªQªL¸ô¢²¢¯¡Ð¢±¸¹¤»¼Ó",14831,8500,11800,11700,9700,1900,11600,3,1
87672.688629118,"·s©±°Ï","·s¥_¥«·s©±°Ï´I¶Qµó¢±¢²«Ñ¢°¢³¸¹¥|¼Ó",13854,6300,8500,11500,6700,1100,8400,3,0
89590.6329001641,"·s©±°Ï","·s¥_¥«·s©±°Ï¦w²»¸ô¢°¢¯¢·«Ñ¢¸¸¹¤»¼Ó",3637,8900,600,11500,9300,3800,10400,3,1
97236.9819341127,"·s©±°Ï","·s¥_¥«·s©±°Ï´I¶Qµó¢±¢²«Ñ¢°¢´¸¹",13870,6300,8500,11500,6700,1100,8400,3,0
116402.116402116,"·s©±°Ï","·s¥_¥«·s©±°Ï¹´«H¸ô¢°¢²¢±«Ñ¢·¸¹",13210,6100,8200,11300,6500,950,7900,3,1
73135.7552581262,"·s©±°Ï","·s¥_¥«·s©±°Ï´I¶Qµó¢µ«Ñ¢´¸¹¥|¼Ó",12993,6000,8200,11200,6300,6600,8100,3,0
